Date,Gasoline,Ethane,Propane,Jet Fuel
2020-12-01,7855,6,266,1126
2021-01-01,7666,4,259,1226
2021-02-01,7744,2,219,950
2021-03-01,8577,3,271,1101
2021-04-01,8791,2,280,1262
2021-05-01,9137,6,301,1306
2021-06-01,9273,4,301,1380
2021-07-01,9313,2,289,1420
2021-08-01,9111,4,288,1432
2021-09-01,8966,6,260,1353
2021-10-01,8949,2,277,1319
2021-11-01,8989,8,287,1435
2021-12-01,8949,6,294,1511
2022-01-01,7982,9,268,1517
2022-02-01,8598,6,269,1502
2022-03-01,8856,5,284,1435
2022-04-01,8754,5,299,1698
